coffee_id,Moisture,Color,Category One Defects,Category Two Defects,Quakers
2,12%,Green,0,1,0
3,0%,,0,0,0
4,11%,Green,0,2,0
5,12%,Green,0,2,0
6,11%,Bluish-Green,0,1,0
7,11%,Bluish-Green,0,0,0
8,3%,,0,0,0
9,3%,,0,0,0
10,10%,Green,0,4,0
11,10%,,0,1,0
12,0%,,0,0,0
13,0%,,0,0,0
14,0%,,0,2,0
15,5%,,0,2,0
16,0%,,0,0,0
17,3%,,0,0,0
18,5%,,0,2,0
19,10%,Green,0,0,0
20,0%,,0,8,0
21,0%,None,0,0,0
22,11%,Green,0,2,0
23,13%,Green,0,0,0
24,0%,,0,0,0
25,11%,Bluish-Green,0,1,0
26,12%,Green,0,2,0
27,5%,,0,2,0
28,12%,Green,0,1,0
29,10%,Green,0,3,0
30,0%,Green,0,0,0
31,8%,,0,2,0
32,11%,Bluish-Green,0,1,0
33,12%,Green,0,2,0
34,0%,Blue-Green,0,0,0
35,10%,Green,0,3,0
36,12%,Blue-Green,0,1,0
37,0%,,1,4,0
38,0%,,2,1,0
39,10%,,0,2,0
40,0%,,0,0,0
41,10%,Green,1,9,0
42,8%,,0,2,0
43,1%,,0,3,0
44,12%,Green,0,0,0
45,11%,Bluish-Green,0,2,0
46,11%,Blue-Green,0,2,0
47,0%,,0,0,0
48,12%,Green,1,1,0
49,11%,Green,0,1,0
50,10%,Blue-Green,0,0,0
51,1%,,0,4,0
52,0%,,0,0,0
53,10%,Green,0,3,1
54,12%,Green,0,0,0
55,0%,Blue-Green,1,0,0
56,8%,Bluish-Green,0,0,1
57,10%,Green,0,4,0
58,12%,Green,0,3,0
59,10%,Bluish-Green,0,1,0
60,9%,None,0,7,4
61,10%,Green,4,6,0
62,12%,Bluish-Green,0,1,0
63,10%,Blue-Green,0,3,0
64,11%,None,0,0,0
65,0%,,0,1,0
66,9%,,2,2,0
67,10%,Green,0,3,0
68,12%,Green,0,7,0
69,12%,Green,0,1,0
70,11%,Green,0,1,0
71,10%,Green,0,18,0
72,12%,Green,0,5,0
73,0%,,4,6,0
74,11%,Blue-Green,0,1,0
75,1%,,0,0,0
76,10%,Green,0,0,0
77,11%,Green,0,1,0
78,0%,Bluish-Green,0,0,0
79,10%,Bluish-Green,0,2,0
80,0%,Green,0,2,0
81,0%,Green,0,6,0
82,5%,,0,2,0
83,10%,,0,3,0
84,10%,Green,0,2,2
85,11%,Green,0,0,0
86,12%,Green,0,2,0
87,11%,Green,0,3,0
88,0%,,0,7,0
89,11%,Green,0,8,1
90,0%,,0,0,0
91,10%,Green,2,7,0
92,11%,Bluish-Green,2,2,0
93,11%,Green,0,8,0
94,1%,,1,7,0
95,0%,,0,5,0
96,0%,,0,0,0
97,11%,Green,0,1,0
98,0%,Green,0,3,0
99,12%,Green,1,1,1
100,9%,Green,0,3,0
101,11%,Green,0,7,5
102,0%,Green,0,5,0
103,12%,Green,0,3,0
104,0%,,0,0,0
105,0%,,0,1,0
106,4%,,0,1,0
107,0%,,1,2,6
108,12%,Green,0,1,0
109,11%,Green,0,0,0
110,12%,Green,0,2,0
111,11%,Green,0,3,0
112,11%,,0,0,0
113,11%,Green,0,2,0
114,12%,Green,0,2,0
115,6%,,1,9,0
116,0%,Green,0,0,0
117,12%,Green,0,1,0
118,0%,,3,15,0
119,10%,,0,2,0
120,10%,,0,4,0
121,12%,Green,0,0,0
122,13%,Green,0,0,0
123,11%,Green,0,4,0
124,15%,,0,3,0
125,18%,,0,2,0
126,0%,Blue-Green,0,2,0
127,12%,Green,0,7,0
128,12%,Green,0,0,0
129,10%,Blue-Green,0,2,0
130,10%,Green,0,1,0
131,12%,Green,0,0,0
132,10%,,0,3,0
133,8%,Green,0,1,0
134,11%,Green,0,4,0
135,0%,Green,1,10,0
136,11%,Green,0,0,0
137,0%,Green,0,0,0
138,11%,Bluish-Green,0,0,0
139,11%,Green,0,4,0
140,12%,Green,0,4,0
141,13%,,0,3,0
142,11%,Blue-Green,0,3,0
143,0%,,0,3,0
144,20%,,0,3,0
145,11%,Blue-Green,0,5,0
146,0%,Blue-Green,0,4,0
147,0%,Green,0,5,1
148,10%,Bluish-Green,0,2,0
149,11%,Green,0,1,0
150,9%,Green,0,0,0
151,0%,,0,0,0
152,0%,,0,5,0
153,0%,Green,0,0,0
154,0%,Green,0,2,0
155,12%,Bluish-Green,0,2,0
156,11%,Green,0,6,0
157,12%,Green,0,2,0
158,11%,Blue-Green,0,1,0
159,10%,Bluish-Green,0,2,0
160,11%,Green,0,1,0
161,10%,Green,0,1,0
162,11%,Green,0,0,0
163,12%,Green,1,0,0
164,0%,Green,0,2,0
165,11%,Green,0,2,0
166,11%,Blue-Green,0,0,0
167,12%,Green,0,0,0
168,11%,,0,4,0
169,11%,Green,0,2,0
170,0%,,0,4,0
171,0%,,2,0,0
172,10%,Blue-Green,0,3,0
173,0%,Blue-Green,0,3,0
174,0%,Green,0,1,0
175,0%,Green,0,3,0
176,11%,Blue-Green,0,0,0
177,11%,Blue-Green,0,1,0
178,12%,,2,4,0
179,20%,,0,2,0
180,11%,Green,0,4,0
181,10%,Green,0,3,0
182,0%,Green,0,5,3
183,11%,Green,0,2,1
184,0%,,0,4,2
185,11%,Green,6,0,0
186,0%,Green,0,0,0
187,12%,Blue-Green,0,1,0
188,0%,,0,4,0
189,2%,,0,2,0
190,0%,,0,1,0
191,4%,,1,1,0
192,12%,Blue-Green,0,0,0
193,12%,Green,0,0,0
194,11%,Green,0,2,0
195,11%,Green,0,4,4
196,10%,Green,0,1,0
197,10%,Green,0,1,0
198,11%,Green,0,3,0
199,12%,Green,4,2,0
200,12%,Green,0,0,0
201,12%,Green,3,0,0
202,12%,Green,0,7,0
203,12%,Green,0,2,0
204,10%,Green,0,1,0
205,11%,Green,0,2,0
206,11%,Bluish-Green,1,1,0
207,12%,Green,0,1,0
208,12%,Green,0,0,0
209,10%,Bluish-Green,0,4,0
210,13%,Green,4,29,0
211,13%,Green,0,1,0
212,0%,Green,0,2,0
213,9%,Bluish-Green,0,2,0
214,11%,Green,0,6,0
215,10%,Green,0,10,1
216,10%,Green,0,2,0
217,0%,Bluish-Green,0,0,0
